description,error,success,path,brief_description,group,correct,total
CompilationError('run_dir/GIVEN_LARGE_NUMBER_CHECK_SUBSEQUENCE_DIGITS_DIVISIBLE_8.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,GIVEN_LARGE_NUMBER_CHECK_SUBSEQUENCE_DIGITS_DIVISIBLE_8.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/NTH_EVEN_LENGTH_PALINDROME.d(8): Error: cannot implicitly convert expression `n.length - 1LU` of type `ulong` to `int`\nrun_dir/NTH_EVEN_LENGTH_PALINDROME.d(8): Error: slice `res` is not mutable\n'),Compilation,False,NTH_EVEN_LENGTH_PALINDROME.d,Error: cannot implicitly convert expression `n.length - 1LU` of type `ulong` to `int`,5,,
CompilationError('run_dir/MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS.d(7): Error: cannot implicitly convert expression `num1.length` of type `ulong` to `int`\nrun_dir/MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS.d(8): Error: cannot implicitly convert expression `num2.length` of type `ulong` to `int`\nrun_dir/MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS.d(27): Error: cannot implicitly convert expression `result.length - 1LU` of type `ulong` to `int`\nrun_dir/MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS.d(31): Error: incompatible types for `(s) += (result[cast(ulong)i--])`: `string` and `int`\n'),Compilation,False,MULTIPLY_LARGE_NUMBERS_REPRESENTED_AS_STRINGS.d,Error: cannot implicitly convert expression `num1.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/LONGEST_PALINDROME_SUBSEQUENCE_SPACE.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,LONGEST_PALINDROME_SUBSEQUENCE_SPACE.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/REPLACE_CHARACTER_C1_C2_C2_C1_STRING_S.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\nrun_dir/REPLACE_CHARACTER_C1_C2_C2_C1_STRING_S.d(8): Error: no property `toCharArray` for `s` of type `string`\nrun_dir/REPLACE_CHARACTER_C1_C2_C2_C1_STRING_S.d(13): Error: no property `valueOf` for `string` of type `string`\n'),Compilation,False,REPLACE_CHARACTER_C1_C2_C2_C1_STRING_S.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/LEXICOGRAPHICAL_CONCATENATION_SUBSTRINGS_STRING.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\nrun_dir/LEXICOGRAPHICAL_CONCATENATION_SUBSTRINGS_STRING.d(12): Error: no property `substring` for `s` of type `string`\nrun_dir/LEXICOGRAPHICAL_CONCATENATION_SUBSTRINGS_STRING.d(16): Error: slice `res` is not mutable\nrun_dir/LEXICOGRAPHICAL_CONCATENATION_SUBSTRINGS_STRING.d(16):        did you mean to concatenate (`res ~= arr[cast(ulong)i]`) instead ?\n'),Compilation,False,LEXICOGRAPHICAL_CONCATENATION_SUBSTRINGS_STRING.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,MINIMUM_CHARACTERS_ADDED_FRONT_MAKE_STRING_PALINDROME.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/SUM_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING.d(9): Error: cannot implicitly convert expression `tree.length` of type `ulong` to `int`\n'),Compilation,False,SUM_NODES_K_TH_LEVEL_TREE_REPRESENTED_STRING.d,Error: cannot implicitly convert expression `tree.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS.d(8): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,COUNT_CHARACTERS_POSITION_ENGLISH_ALPHABETS.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/NUMBER_SUBSTRINGS_DIVISIBLE_4_STRING_INTEGERS.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,NUMBER_SUBSTRINGS_DIVISIBLE_4_STRING_INTEGERS.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/PROGRAM_CHECK_INPUT_INTEGER_STRING.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,PROGRAM_CHECK_INPUT_INTEGER_STRING.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT.d(7): Error: cannot implicitly convert expression `num.length` of type `ulong` to `int`\n'),Compilation,False,CHECK_WHETHER_NUMBER_DUCK_NUMBER_NOT.d,Error: cannot implicitly convert expression `num.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS.d(8): Error: variable `N` cannot be read at compile time\n'),Compilation,False,MINIMUM_STEPS_TO_DELETE_A_STRING_AFTER_REPEATED_DELETION_OF_PALINDROME_SUBSTRINGS.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
"CompilationError('run_dir/BINARY_REPRESENTATION_OF_NEXT_NUMBER.d(7): Error: cannot implicitly convert expression `num.length` of type `ulong` to `int`\nrun_dir/BINARY_REPRESENTATION_OF_NEXT_NUMBER.d(11): Error: no property `substring` for `num` of type `string`\nrun_dir/BINARY_REPRESENTATION_OF_NEXT_NUMBER.d(11): Error: no property `substring` for `num` of type `string`\nrun_dir/BINARY_REPRESENTATION_OF_NEXT_NUMBER.d(14): Error: no property `substring` for `num` of type `string`\nrun_dir/BINARY_REPRESENTATION_OF_NEXT_NUMBER.d(14): Error: no property `substring` for `num` of type `string`\nrun_dir/BINARY_REPRESENTATION_OF_NEXT_NUMBER.d(18): Error: invalid array operation `""1"" + num` (possible missing [])\nrun_dir/BINARY_REPRESENTATION_OF_NEXT_NUMBER.d(18):        did you mean to concatenate (`""1"" ~ num`) instead ?\n')",Compilation,False,BINARY_REPRESENTATION_OF_NEXT_NUMBER.d,Error: cannot implicitly convert expression `num.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/QUICK_WAY_CHECK_CHARACTERS_STRING.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,QUICK_WAY_CHECK_CHARACTERS_STRING.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\nrun_dir/LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION.d(9): Error: invalid array operation `str + str` (possible missing [])\nrun_dir/LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION.d(9):        did you mean to concatenate (`str ~ str`) instead ?\nrun_dir/LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION.d(11): Error: no property `substring` for `concat` of type `string`\n'),Compilation,False,LEXICOGRAPHICALLY_MINIMUM_STRING_ROTATION.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/DECIMAL_REPRESENTATION_GIVEN_BINARY_STRING_DIVISIBLE_10_NOT.d(7): Error: cannot implicitly convert expression `bin.length` of type `ulong` to `int`\n'),Compilation,False,DECIMAL_REPRESENTATION_GIVEN_BINARY_STRING_DIVISIBLE_10_NOT.d,Error: cannot implicitly convert expression `bin.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/FIRST_UPPERCASE_LETTER_IN_A_STRING_ITERATIVE_AND_RECURSIVE.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,FIRST_UPPERCASE_LETTER_IN_A_STRING_ITERATIVE_AND_RECURSIVE.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/NUMBER_SUBSEQUENCES_AB_STRING_REPEATED_K_TIMES.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,NUMBER_SUBSEQUENCES_AB_STRING_REPEATED_K_TIMES.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,MAXIMUM_CONSECUTIVE_REPEATING_CHARACTER_STRING_1.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/LONGEST_PREFIX_ALSO_SUFFIX_1.d(7): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,LONGEST_PREFIX_ALSO_SUFFIX_1.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/COUNT_SUBSTRINGS_WITH_SAME_FIRST_AND_LAST_CHARACTERS.d(8): Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`\n'),Compilation,False,COUNT_SUBSTRINGS_WITH_SAME_FIRST_AND_LAST_CHARACTERS.d,Error: cannot implicitly convert expression `s.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY.d(7): Error: cannot implicitly convert expression `A.length` of type `ulong` to `int`\nrun_dir/MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY.d(17): Error: undefined identifier `Math`\n'),Compilation,False,MAXIMUM_AVERAGE_SUM_PARTITION_ARRAY.d,Error: cannot implicitly convert expression `A.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/NUMBER_SUBSTRINGS_STRING.d(7): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,NUMBER_SUBSTRINGS_STRING.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/STRING_CONTAINING_FIRST_LETTER_EVERY_WORD_GIVEN_STRING_SPACES.d(9): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,STRING_CONTAINING_FIRST_LETTER_EVERY_WORD_GIVEN_STRING_SPACES.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS.d(8): Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`\n'),Compilation,False,COUNT_CHARACTERS_STRING_DISTANCE_ENGLISH_ALPHABETS.d,Error: cannot implicitly convert expression `str.length` of type `ulong` to `int`,5,,
CompilationError('run_dir/MAXIMUM_DISTANCE_TWO_OCCURRENCES_ELEMENT_ARRAY.d(7): Error: identifier expected following comma\nrun_dir/MAXIMUM_DISTANCE_TWO_OCCURRENCES_ELEMENT_ARRAY.d(7): Error: no identifier for declarator `int`\nrun_dir/MAXIMUM_DISTANCE_TWO_OCCURRENCES_ELEMENT_ARRAY.d(7): Error: found `>` instead of statement\n'),Compilation,False,MAXIMUM_DISTANCE_TWO_OCCURRENCES_ELEMENT_ARRAY.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1.d(7): Error: identifier expected following comma\nrun_dir/COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1.d(7): Error: no identifier for declarator `int`\nrun_dir/COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1.d(7): Error: found `>` instead of statement\n'),Compilation,False,COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S_1.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE.d(7): Error: identifier expected following comma\nrun_dir/LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE.d(7): Error: no identifier for declarator `int`\nrun_dir/LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE.d(7): Error: found `>` instead of statement\nrun_dir/LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE.d(8): Error: identifier expected following comma\nrun_dir/LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE.d(8): Error: no identifier for declarator `int`\nrun_dir/LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE.d(8): Error: found `>` instead of statement\n'),Compilation,False,LENGTH_LONGEST_STRICT_BITONIC_SUBSEQUENCE.d,Error: identifier expected following comma,6,,
"CompilationError('run_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(7): Error: identifier expected following comma\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(7): Error: no identifier for declarator `int`\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(7): Error: found `>` instead of statement\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(15): Error: storage class not allowed for bit-field declaration\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(15): Error: semicolon needed to end declaration of `__anonBitField1` instead of `)`\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(15): Error: expression expected, not `)`\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(15): Error: found `{` when expecting `;` following `for` condition\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(16): Error: expression expected, not `if`\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(16): Error: found `return` when expecting `)`\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(18): Error: declaration expected, not `return`\nrun_dir/FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d(19): Error: unmatched closing brace\n')",Compilation,False,FIND_THE_NUMBER_OCCURRING_ODD_NUMBER_OF_TIMES_1.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/LONGEST_SUBARRAY_COUNT_1S_ONE_COUNT_0S.d(7): Error: identifier expected following comma\nrun_dir/LONGEST_SUBARRAY_COUNT_1S_ONE_COUNT_0S.d(7): Error: no identifier for declarator `int`\nrun_dir/LONGEST_SUBARRAY_COUNT_1S_ONE_COUNT_0S.d(7): Error: found `>` instead of statement\n'),Compilation,False,LONGEST_SUBARRAY_COUNT_1S_ONE_COUNT_0S.d,Error: identifier expected following comma,6,,
"CompilationError('run_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(7): Error: identifier expected following comma\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(7): Error: no identifier for declarator `int`\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(7): Error: found `>` instead of statement\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(8): Error: identifier expected following comma\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(8): Error: no identifier for declarator `int`\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(8): Error: found `>` instead of statement\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(19): Error: semicolon needed to end declaration of `x` instead of `)`\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(19): Error: expression expected, not `)`\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(19): Error: found `if` when expecting `;` following `for` condition\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(19): Error: found `res` when expecting `)`\nrun_dir/REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d(19): Error: found `+=` instead of statement\n')",Compilation,False,REMOVE_MINIMUM_NUMBER_ELEMENTS_NO_COMMON_ELEMENT_EXIST_ARRAY.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS.d(7): Error: identifier expected following comma\nrun_dir/COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS.d(7): Error: no identifier for declarator `int`\nrun_dir/COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS.d(7): Error: found `>` instead of statement\n'),Compilation,False,COUNT_WORDS_APPEAR_EXACTLY_TWO_TIMES_ARRAY_WORDS.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/PRINT_MAXIMUM_SHORTEST_DISTANCE.d(7): Error: identifier expected following comma\nrun_dir/PRINT_MAXIMUM_SHORTEST_DISTANCE.d(7): Error: no identifier for declarator `int`\nrun_dir/PRINT_MAXIMUM_SHORTEST_DISTANCE.d(7): Error: found `>` instead of statement\n'),Compilation,False,PRINT_MAXIMUM_SHORTEST_DISTANCE.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S.d(7): Error: identifier expected following comma\nrun_dir/COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S.d(7): Error: no identifier for declarator `int`\nrun_dir/COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S.d(7): Error: found `>` instead of statement\n'),Compilation,False,COUNT_SUBARRAYS_EQUAL_NUMBER_1S_0S.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/FIRST_ELEMENT_OCCURRING_K_TIMES_ARRAY.d(7): Error: identifier expected following comma\nrun_dir/FIRST_ELEMENT_OCCURRING_K_TIMES_ARRAY.d(7): Error: no identifier for declarator `int`\nrun_dir/FIRST_ELEMENT_OCCURRING_K_TIMES_ARRAY.d(7): Error: found `>` instead of statement\n'),Compilation,False,FIRST_ELEMENT_OCCURRING_K_TIMES_ARRAY.d,Error: identifier expected following comma,6,,
"CompilationError('run_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(8): Error: identifier expected following comma\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(8): Error: no identifier for declarator `int`\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(8): Error: found `>` instead of statement\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(20): Error: storage class not allowed for bit-field declaration\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(20): Error: semicolon needed to end declaration of `__anonBitField1` instead of `)`\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(20): Error: expression expected, not `)`\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(20): Error: found `if` when expecting `;` following `for` condition\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(20): Error: found `res` when expecting `)`\nrun_dir/FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d(20): Error: found `+=` instead of statement\n')",Compilation,False,FIND_SUM_UNIQUE_SUB_ARRAY_SUM_GIVEN_ARRAY.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/ARRAY_RANGE_QUERIES_ELEMENTS_FREQUENCY_VALUE.d(7): Error: identifier expected following comma\nrun_dir/ARRAY_RANGE_QUERIES_ELEMENTS_FREQUENCY_VALUE.d(7): Error: no identifier for declarator `int`\nrun_dir/ARRAY_RANGE_QUERIES_ELEMENTS_FREQUENCY_VALUE.d(7): Error: found `>` instead of statement\n'),Compilation,False,ARRAY_RANGE_QUERIES_ELEMENTS_FREQUENCY_VALUE.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/COUNT_SUBARRAYS_TOTAL_DISTINCT_ELEMENTS_ORIGINAL_ARRAY.d(7): Error: identifier expected following comma\nrun_dir/COUNT_SUBARRAYS_TOTAL_DISTINCT_ELEMENTS_ORIGINAL_ARRAY.d(7): Error: no identifier for declarator `int`\nrun_dir/COUNT_SUBARRAYS_TOTAL_DISTINCT_ELEMENTS_ORIGINAL_ARRAY.d(7): Error: found `>` instead of statement\n'),Compilation,False,COUNT_SUBARRAYS_TOTAL_DISTINCT_ELEMENTS_ORIGINAL_ARRAY.d,Error: identifier expected following comma,6,,
"CompilationError('run_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d(8): Error: identifier expected following comma\nrun_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d(8): Error: no identifier for declarator `int`\nrun_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d(8): Error: found `>` instead of statement\nrun_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d(43): Error: identifier or `new` expected following `.`, not `out`\nrun_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d(46): Error: found `void` when expecting `;` following `return` statement\nrun_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d(46): Error: found `{` when expecting `;` following statement `main()` on line run_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d(46)\n')",Compilation,False,LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S_1.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1.d(7): Error: identifier expected following comma\nrun_dir/K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1.d(7): Error: no identifier for declarator `int`\nrun_dir/K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1.d(7): Error: found `>` instead of statement\n'),Compilation,False,K_TH_DISTINCT_OR_NON_REPEATING_ELEMENT_IN_AN_ARRAY_1.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/COUNT_INDEX_PAIRS_EQUAL_ELEMENTS_ARRAY_1.d(7): Error: identifier expected following comma\nrun_dir/COUNT_INDEX_PAIRS_EQUAL_ELEMENTS_ARRAY_1.d(7): Error: no identifier for declarator `int`\nrun_dir/COUNT_INDEX_PAIRS_EQUAL_ELEMENTS_ARRAY_1.d(7): Error: found `>` instead of statement\n'),Compilation,False,COUNT_INDEX_PAIRS_EQUAL_ELEMENTS_ARRAY_1.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/SUM_FAI_AJ_PAIRS_ARRAY_N_INTEGERS.d(7): Error: identifier expected following comma\nrun_dir/SUM_FAI_AJ_PAIRS_ARRAY_N_INTEGERS.d(7): Error: no identifier for declarator `int`\nrun_dir/SUM_FAI_AJ_PAIRS_ARRAY_N_INTEGERS.d(7): Error: found `>` instead of statement\n'),Compilation,False,SUM_FAI_AJ_PAIRS_ARRAY_N_INTEGERS.d,Error: identifier expected following comma,6,,
CompilationError('run_dir/MAXIMUM_NUMBER_CHOCOLATES_DISTRIBUTED_EQUALLY_AMONG_K_STUDENTS.d(7): Error: identifier expected following comma\nrun_dir/MAXIMUM_NUMBER_CHOCOLATES_DISTRIBUTED_EQUALLY_AMONG_K_STUDENTS.d(7): Error: no identifier for declarator `int`\nrun_dir/MAXIMUM_NUMBER_CHOCOLATES_DISTRIBUTED_EQUALLY_AMONG_K_STUDENTS.d(7): Error: found `>` instead of statement\n'),Compilation,False,MAXIMUM_NUMBER_CHOCOLATES_DISTRIBUTED_EQUALLY_AMONG_K_STUDENTS.d,Error: identifier expected following comma,6,,
"CompilationError('run_dir/K_TH_DIGIT_RAISED_POWER_B.d(7): Error: can only `*` a pointer, not a `int`\n')",Compilation,False,K_TH_DIGIT_RAISED_POWER_B.d,"Error: can only `*` a pointer, not a `int`",7,,
"CompilationError('run_dir/SUM_SEQUENCE_2_22_222.d(7): Error: can only `*` a pointer, not a `int`\n')",Compilation,False,SUM_SEQUENCE_2_22_222.d,"Error: can only `*` a pointer, not a `int`",7,,
"CompilationError('run_dir/WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN.d(8): Error: can only `*` a pointer, not a `int`\nrun_dir/WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN.d(9): Error: can only `*` a pointer, not a `int`\n')",Compilation,False,WRITE_A_C_PROGRAM_TO_CALCULATE_POWXN.d,"Error: can only `*` a pointer, not a `int`",7,,
"CompilationError('run_dir/LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S.d(23): Error: incompatible types for `(startindex) + (""to"")`: `int` and `string`\n')",Compilation,False,LARGEST_SUBARRAY_WITH_EQUAL_NUMBER_OF_0S_AND_1S.d,"Error: incompatible types for `(startindex) + (""to"")`: `int` and `string`",8,,
"CompilationError('run_dir/FIND_SUBARRAY_WITH_GIVEN_SUM.d(13): Error: incompatible types for `(""Sumfoundbetweenindexes"") + (i)`: `string` and `int`\n')",Compilation,False,FIND_SUBARRAY_WITH_GIVEN_SUM.d,"Error: incompatible types for `(""Sumfoundbetweenindexes"") + (i)`: `string` and `int`",8,,
"CompilationError('run_dir/FIND_SUBARRAY_WITH_GIVEN_SUM_1.d(15): Error: incompatible types for `(""Sumfoundbetweenindexes"") + (start)`: `string` and `int`\n')",Compilation,False,FIND_SUBARRAY_WITH_GIVEN_SUM_1.d,"Error: incompatible types for `(""Sumfoundbetweenindexes"") + (start)`: `string` and `int`",8,,
"CompilationError('run_dir/FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE.d(11): Error: incompatible types for `(""Tripletis"") + (A[cast(ulong)i])`: `string` and `int`\n')",Compilation,False,FIND_A_TRIPLET_THAT_SUM_TO_A_GIVEN_VALUE.d,"Error: incompatible types for `(""Tripletis"") + (A[cast(ulong)i])`: `string` and `int`",8,,
CompilationError('run_dir/PROGRAM_CALCULATE_VOLUME_OCTAHEDRON.d(7): Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(186):     `std.math.algebraic.sqrt(float x)`\nand:\n/etc/../usr/include/dmd/phobos/std/math/algebraic.d(194):     `std.math.algebraic.sqrt(real x)`\n'),Compilation,False,PROGRAM_CALCULATE_VOLUME_OCTAHEDRON.d,Error: `std.math.algebraic.sqrt` called with argument types `(int)` matches both:,9,,
